N,Z,A,Mass Excess (keV)
93,73,166,-46097.78
94,73,167,-48351.064
96,73,169,-50290.435
98,73,171,-51720.279
99,73,172,-51329.983
100,73,173,-52396.543
101,73,174,-51740.771
102,73,175,-52408.653
104,73,177,-51714.745
106,73,179,-50357.456
107,73,180,-48933.631
108,73,181,-48439.064
86,74,160,-29329.073
91,74,165,-38861.316
94,74,168,-44892.93
95,74,169,-44917.866
96,74,170,-47290.804
97,74,171,-47086.095
98,74,172,-49097.191
99,74,173,-48727.388
100,74,174,-50227.093
101,74,175,-49632.8
102,74,176,-50641.608
103,74,177,-49701.731
104,74,178,-50407.066
106,74,180,-49636.243
107,74,181,-48233.945
110,74,184,-45705.453
88,75,163,-26002.253
89,75,164,-27472.441
90,75,165,-30659.353
91,75,166,-31837.335
93,75,168,-35794.889
95,75,170,-38903.996
97,75,172,-41566.839
98,75,173,-43553.87
99,75,174,-43673.101
100,75,175,-45288.312
101,75,176,-45062.89
102,75,177,-46269.175
103,75,178,-45653.457
104,75,179,-46584.312
105,75,180,-45837.364
107,75,182,-45446.144
108,75,183,-45809.663
109,75,184,-44219.819
110,75,185,-43819.047
111,75,186,-41927.32
90,76,166,-25431.526
91,76,167,-26498.86
92,76,168,-29994.995
94,76,170,-33925.692
96,76,172,-37243.641
97,76,173,-37438.25
98,76,174,-39995.383
99,76,175,-40105.36
101,76,177,-41956.448
102,76,178,-43544.243
106,76,182,-44609.109
107,76,183,-43663.76
108,76,184,-44252.565
109,76,185,-42805.908
111,76,187,-41219.015
112,76,188,-41137.301
113,76,189,-38986.802
90,77,167,-17072.448
91,77,168,-18666.23
94,77,171,-26412.03
95,77,172,-27379.373
97,77,174,-30785.937
98,77,175,-33394.511
101,77,178,-36254.314
103,77,180,-37977.53
104,77,181,-39463.035
105,77,182,-39051.682
106,77,183,-40202.138
109,77,186,-39172.35
110,77,187,-39549.377
111,77,188,-38344.955
112,77,189,-38449.652
113,77,190,-36753.614
114,77,191,-36708.826
90,78,168,-11010.078
92,78,170,-16299.202
94,78,172,-21106.67
95,78,173,-21936.758
97,78,175,-25708.684
98,78,176,-28933.918
100,78,178,-31997.486
101,78,179,-32268.127
103,78,181,-34381.497
105,78,183,-35773.197
107,78,185,-36688.144
108,78,186,-37864.447
109,78,187,-36685.361
110,78,188,-37820.97
112,78,190,-37306.504
113,78,191,-35698.336
117,78,195,-32793.878
93,79,172,-9318.011
94,79,173,-12832.017
97,79,176,-18520.967
98,79,177,-21545.736
99,79,178,-22303.029
100,79,179,-24988.572
101,79,180,-25625.646
102,79,181,-27871.14
104,79,183,-30191.488
105,79,184,-30318.714
107,79,186,-31714.856
110,79,189,-33581.958
111,79,190,-32833.54
112,79,191,-33797.91
114,79,193,-33404.829
116,79,195,-32567.061
117,79,196,-31138.718
92,80,172,-1061.361
95,80,175,-7969.443
96,80,176,-11784.639
97,80,177,-12775.823
98,80,178,-16315.346
99,80,179,-16932.924
101,80,181,-20661.127
102,80,182,-23576.885
103,80,183,-23804.655
108,80,188,-30198.351
111,80,191,-30591.849
113,80,193,-31062.165
114,80,194,-32183.952
115,80,195,-31013.342
116,80,196,-31825.944
117,80,197,-30540.231
118,80,198,-30954.315
119,80,199,-29546.066
96,81,177,-3340.103
100,81,181,-12798.749
102,81,183,-16587.261
103,81,184,-16883.355
105,81,186,-19882.94
